Vpos,Apos,DeltaAV,modality_AV,resp_x,resp_RT,SubId,soundpos_A,modality_A,resp_x_A,resp_RT_A,Relative_response
0.0,-11.0,-11.0,0.0,-5.684138869979578,5.638050530537839,1.0,0.0,1.0,3.1994554118447924,3.876851621959304,-5.315861130020422
-11.0,-22.0,-11.0,0.0,-14.737916950306332,5.743501158978233,1.0,-11.0,1.0,-19.469026548672566,6.324487826722361,-7.262083049693668
22.0,11.0,-11.0,0.0,23.281143635125936,5.128873337477671,1.0,0.0,1.0,21.034717494894487,3.841075677759818,-12.281143635125936
-11.0,-22.0,-11.0,0.0,-19.128658951667802,1.6003807016227256,1.0,-11.0,1.0,-16.33764465622873,3.4697395459425024,-2.871341048332198
22.0,11.0,-11.0,0.0,19.094622191967325,5.589419009803805,1.0,0.0,1.0,8.645336963921036,3.0680643689843237,-8.094622191967325
0.0,-11.0,-11.0,0.0,0.7488087134104834,6.742917339502583,1.0,0.0,1.0,8.577263444520081,1.9238632040396624,-11.748808713410483
22.0,11.0,-11.0,0.0,27.73995915588836,2.264295718037374,1.0,0.0,1.0,23.75765827093261,4.464759758285709,-16.73995915588836
0.0,-11.0,-11.0,0.0,2.1443158611300204,3.9557769578646003,1.0,-22.0,1.0,-15.656909462219197,2.9644684901081746,-13.144315861130021
11.0,0.0,-11.0,0.0,16.371681415929203,2.98421698581069,1.0,-11.0,1.0,-7.6923076923076925,3.6001757232465934,-16.371681415929203
-11.0,-22.0,-11.0,0.0,-13.614703880190607,3.149204048756019,1.0,-11.0,1.0,1.5997277059223962,4.612748692661171,-8.385296119809393
-11.0,-22.0,-11.0,0.0,-13.036078965282506,1.1506459545480539,1.0,-11.0,1.0,-19.775357385976857,1.3621605426569658,-8.963921034717494
0.0,-11.0,-11.0,0.0,-5.0034036759700475,2.234409614159631,1.0,-22.0,1.0,-22.36215112321307,3.2825025453885246,-5.9965963240299525
11.0,0.0,-11.0,0.0,6.466984343090538,3.317031938774562,1.0,-11.0,1.0,-7.726344452008169,2.6681217244358777,-6.466984343090538
22.0,11.0,-11.0,0.0,24.2001361470388,6.463375913661366,1.0,0.0,1.0,-8.509189925119129,2.6474404006930854,-13.200136147038801
0.0,-11.0,-11.0,0.0,-0.7828454731109599,2.74342096399414,1.0,0.0,1.0,-13.036078965282506,2.424114053946141,-10.21715452688904
0.0,-11.0,-11.0,0.0,-1.8720217835262083,3.2394997501123726,1.0,-22.0,1.0,-18.58407079646018,3.6288383724649975,-9.127978216473792
22.0,11.0,-11.0,0.0,25.11912865895167,1.9543754703436207,1.0,0.0,1.0,18.58407079646018,4.3751800377367545,-14.11912865895167
11.0,0.0,-11.0,0.0,12.151123213070116,4.597276193446305,1.0,-11.0,1.0,-12.321307011572499,2.5070953313052087,-12.151123213070116
22.0,11.0,-11.0,0.0,26.616746085772636,2.2055057384322936,1.0,0.0,1.0,2.5187202178352623,4.587556561521524,-15.616746085772636
-11.0,-22.0,-11.0,0.0,-11.878829135466304,1.5819538192381515,1.0,-11.0,1.0,-17.086453369639212,2.459941964495556,-10.121170864533696
0.0,-11.0,-11.0,0.0,-2.6208304969366916,1.7107953995027856,1.0,-22.0,1.0,-11.027910142954392,2.304650795758789,-8.37916950306331
22.0,11.0,-11.0,0.0,27.705922396187884,4.5914277337342355,1.0,0.0,1.0,7.249829816201498,4.197904537175418,-16.705922396187884
0.0,-11.0,-11.0,0.0,-8.88359428182437,5.136204762811758,1.0,0.0,1.0,4.833219877467665,2.168027094356148,-2.1164057181756295
-11.0,-22.0,-11.0,0.0,-13.546630360789653,1.3528511882650491,1.0,-11.0,1.0,-10.789652825051055,1.8385014188088462,-8.453369639210347
0.0,-11.0,-11.0,0.0,-7.147719537100068,3.3722256545679556,1.0,0.0,1.0,-7.760381211708646,4.163545157153749,-3.852280462899932
0.0,-11.0,-11.0,0.0,-1.8379850238257318,2.3566222771396497,1.0,0.0,1.0,-3.7100068073519403,1.4621973681933014,-9.162014976174268
0.0,-11.0,-11.0,0.0,-1.6678012253233492,1.6691129344244473,1.0,-22.0,1.0,-26.140231449965963,2.6338178393416456,-9.332198774676652
-11.0,-22.0,-11.0,0.0,-10.721579305650103,3.6032478326233104,2.0,-11.0,1.0,-8.373042886317222,5.949654231313616,-11.278420694349897
0.0,-11.0,-11.0,0.0,-4.016337644656229,3.8195673833834007,2.0,0.0,1.0,-7.760381211708646,4.363179339678027,-6.983662355343771
22.0,11.0,-11.0,0.0,20.626276378488768,5.339304330991581,2.0,0.0,1.0,-16.91626957113683,7.0731352580478415,-9.626276378488768
22.0,11.0,-11.0,0.0,15.384615384615385,3.960004837368615,2.0,0.0,1.0,7.3859768550034035,5.176239381311461,-4.384615384615385
-11.0,-22.0,-11.0,0.0,-7.794417971409122,4.919017181615345,2.0,-11.0,1.0,-7.896528250510552,4.3175005982629955,-14.205582028590879
-11.0,-22.0,-11.0,0.0,-6.909462219196732,4.873643181053922,2.0,-11.0,1.0,-8.951667801225323,2.334547806181945,-15.090537780803267
-11.0,-22.0,-11.0,0.0,-5.173587474472431,4.2154239332303405,2.0,-11.0,1.0,-5.377808032675289,3.2780770654790103,-16.82641252552757
0.0,-11.0,-11.0,0.0,-0.0,1.5115811178693548,2.0,-22.0,1.0,-5.684138869979578,2.4607262714998797,-11.0
22.0,11.0,-11.0,0.0,22.055820285908784,3.5010515165049583,2.0,0.0,1.0,-21.20490129339687,3.148180440068245,-11.055820285908784
