Vpos,Apos,DeltaAV,modality_AV,resp_x,resp_RT,SubId,soundpos_A,modality_A,resp_x_A,resp_RT_A,Relative_response
0.0,11.0,11.0,0.0,15.180394826412526,3.789477263439494,1.0,0.0,1.0,23.179033356024508,6.762697592418135,-4.180394826412526
11.0,22.0,11.0,0.0,7.420013614703881,6.467307713281571,1.0,11.0,1.0,13.342409802586793,2.771234829514924,14.57998638529612
-22.0,-11.0,11.0,0.0,-18.686181075561606,5.119269186328893,1.0,0.0,1.0,19.571136827773998,2.649567813198246,7.686181075561606
0.0,11.0,11.0,0.0,4.935330156569095,2.0990151414544016,1.0,22.0,1.0,28.080326752893125,2.1651134502385503,6.064669843430905
0.0,11.0,11.0,0.0,19.33287950987066,7.188892545780163,1.0,0.0,1.0,19.43498978897209,2.446193657411186,-8.332879509870661
-22.0,-11.0,11.0,0.0,-18.37985023825732,3.837035775302411,1.0,0.0,1.0,18.17562968005446,3.72931242104778,7.379850238257319
11.0,22.0,11.0,0.0,16.50782845473111,3.9439440277510585,1.0,11.0,1.0,29.543907420013614,1.2717772683790827,5.492171545268889
0.0,11.0,11.0,0.0,10.619469026548673,3.546977900186903,1.0,22.0,1.0,29.61198093941457,4.26291572277205,0.3805309734513269
-22.0,-11.0,11.0,0.0,-22.089857045609257,6.525705379030114,1.0,0.0,1.0,2.3485364193328797,6.753774136283937,11.089857045609257
11.0,22.0,11.0,0.0,13.68277739959156,2.610234740337546,1.0,11.0,1.0,22.97481279782165,2.231922286570807,8.31722260040844
0.0,11.0,11.0,0.0,2.1443158611300204,2.5234140479797134,1.0,0.0,1.0,3.233492171545269,3.3432537734943253,8.855684138869979
0.0,11.0,11.0,0.0,3.0973451327433628,7.666127114821393,1.0,0.0,1.0,-0.10211027910142954,3.5431586943232105,7.902654867256637
0.0,11.0,11.0,0.0,-1.2593601089176312,3.74268124547325,1.0,22.0,1.0,26.106194690265486,1.5156524567573797,12.259360108917631
0.0,11.0,11.0,0.0,1.4295439074200136,3.953023062153079,1.0,0.0,1.0,-0.0,1.4640976685077476,9.570456092579986
-22.0,-11.0,11.0,0.0,-20.31994554118448,2.3820011021998653,1.0,0.0,1.0,7.828454731109598,2.4135597526401398,9.319945541184481
-11.0,0.0,11.0,0.0,-10.245064669843432,5.069012594462038,1.0,11.0,1.0,20.864533696392105,2.9868961397978637,10.245064669843432
-22.0,-11.0,11.0,0.0,-18.5500340367597,3.231887000777533,1.0,0.0,1.0,4.799183117767189,3.3254652431742215,7.550034036759701
0.0,11.0,11.0,0.0,15.078284547311096,2.4283268567869527,1.0,0.0,1.0,-9.530292716133424,2.486103171807372,-4.078284547311096
11.0,22.0,11.0,0.0,18.039482641252555,2.053912199966362,1.0,11.0,1.0,25.7998638529612,1.5541367459181856,3.9605173587474454
0.0,11.0,11.0,0.0,8.951667801225323,3.666548940431312,1.0,0.0,1.0,17.76718856364874,3.5275116908242126,2.048332198774677
-22.0,-11.0,11.0,0.0,-17.76718856364874,3.6622970024400274,1.0,0.0,1.0,9.257998638529612,3.360318945070503,6.767188563648741
0.0,11.0,11.0,0.0,15.350578624914908,2.7720781599555266,1.0,22.0,1.0,28.72702518720218,2.6262153549650975,-4.350578624914908
-11.0,0.0,11.0,0.0,-10.721579305650103,2.8059521999412027,1.0,11.0,1.0,27.56977535738598,1.7684828584833667,10.721579305650103
-22.0,-11.0,11.0,0.0,-20.52416609938734,4.006283758078098,1.0,0.0,1.0,2.110279101429544,2.5187941754065832,9.52416609938734
0.0,11.0,11.0,0.0,2.6889040163376445,2.441029100513333,1.0,0.0,1.0,5.95643294758339,4.064090867972482,8.311095983662355
11.0,22.0,11.0,0.0,18.58407079646018,1.8233734372406616,1.0,11.0,1.0,20.660313138189245,3.216808098538422,3.4159292035398217
0.0,11.0,11.0,0.0,16.13342409802587,2.5049294252075924,1.0,0.0,1.0,12.389380530973451,3.557875115239767,-5.13342409802587
0.0,11.0,11.0,0.0,13.37644656228727,1.7302580802861485,1.0,22.0,1.0,25.085091899251193,1.8827761065140294,-2.3764465622872706
-11.0,0.0,11.0,0.0,-10.176991150442479,4.627098141337228,1.0,11.0,1.0,18.5500340367597,4.744162927976504,10.176991150442479
-22.0,-11.0,11.0,0.0,-21.78352620830497,5.3382704572595685,1.0,0.0,1.0,6.05854322668482,5.325831253075194,10.78352620830497
-22.0,-11.0,11.0,0.0,-20.626276378488768,1.7289926034563905,1.0,0.0,1.0,10.857726344452008,3.5265416523116073,9.626276378488768
0.0,11.0,11.0,0.0,5.786249149081008,1.5048620614215906,1.0,0.0,1.0,-4.016337644656229,1.6600390325020271,5.213750850918992
0.0,11.0,11.0,0.0,3.4036759700476518,1.6768976218017997,1.0,0.0,1.0,6.126616746085773,2.81404740229209,7.596324029952348
0.0,11.0,11.0,0.0,-0.9530292716133424,3.712474682443826,1.0,0.0,1.0,-4.050374404356705,1.4125197841021873,11.953029271613342
11.0,22.0,11.0,0.0,18.5500340367597,1.362001756590871,1.0,11.0,1.0,26.310415248468345,1.363327540047976,3.449965963240299
-11.0,0.0,11.0,0.0,-8.88359428182437,2.515041691767692,1.0,11.0,1.0,10.449285228046291,2.6791360241641087,8.88359428182437
0.0,11.0,11.0,0.0,-0.987066031313819,3.177710478148583,1.0,22.0,1.0,19.400953029271616,2.495960739102884,11.98706603131382
-22.0,-11.0,11.0,0.0,-15.248468345813478,4.210780322784558,2.0,0.0,1.0,11.061946902654867,4.5845088314963505,4.248468345813478
